label,run_id,exit_code,start,end,wall_seconds,n_combos,is_best_oos_ir,is_best_oos_ar,oracle_oos_ir,oracle_oos_ar
B04_thr_07_095_S1,20260511_072841_B04_thr_07_095_S1,0,2026-05-11 07:28:41,2026-05-11 08:12:16,2615,24,-1.3172695667808223,-0.30098322253645854,-0.8776023361462741,-0.19795834598848686
A13_volcomp_h5_S1,20260511_072841_A13_volcomp_h5_S1,0,2026-05-11 07:28:41,2026-05-11 08:17:39,2938,27,-1.6922614937641722,-0.3379905985333792,-0.11401647058665246,-0.030089506688984295
A15_volcomp_h20_S1,20260511_081224_A15_volcomp_h20_S1,0,2026-05-11 08:12:24,2026-05-11 08:57:54,2730,6,-0.44259244774831474,-0.1220584842910165,0.06916599765114495,0.02081305161823216
B01_stoploss_005_S2,20260511_081744_B01_stoploss_005_S2,0,2026-05-11 08:17:44,2026-05-11 09:10:50,3186,20,-0.8137113847241496,-0.19604367299280487,0.1869170200881442,0.04987528286372681
B01_stoploss_005_S1,20260511_072841_B01_stoploss_005_S1,0,2026-05-11 07:28:41,2026-05-11 09:34:48,7567,129,-0.5511306627343769,-0.17341557773487398,0.7070049987688017,0.18380000440220473
B04_thr_07_095_S2,20260511_085757_B04_thr_07_095_S2,0,2026-05-11 08:57:57,2026-05-11 09:51:45,3228,13,-1.2951854152802311,-0.38964619954914387,-0.18119192659633354,-0.0536895308847781
A13_volcomp_h5_S2,20260511_091057_A13_volcomp_h5_S2,0,2026-05-11 09:10:57,2026-05-11 10:07:38,3401,13,-0.56671393192756,-0.17273453800009522,-0.2287814092632887,-0.060968354618337335
A15_volcomp_h20_S2,20260511_093449_A15_volcomp_h20_S2,0,2026-05-11 09:34:49,2026-05-11 10:38:10,3801,15,-0.4991573553098078,-0.14665256823427233,0.04692101351739583,0.013833785518860747
B01_stoploss_005_S5,20260511_095150_B01_stoploss_005_S5,0,2026-05-11 09:51:50,2026-05-11 10:46:45,3295,6,-0.19173735683386975,-0.06189354595308242,-0.1237708075511846,-0.027395116238310795
B04_thr_07_095_S5,20260511_100741_B04_thr_07_095_S5,0,2026-05-11 10:07:41,2026-05-11 11:24:44,4623,13,-0.17264981621778236,-0.048224738928531685,-0.03287656599171739,-0.007974805663869287
A13_volcomp_h5_S5,20260511_103813_A13_volcomp_h5_S5,0,2026-05-11 10:38:13,2026-05-11 11:51:47,4414,15,-0.373617665472424,-0.1277759165717064,0.040563144816529006,0.014082417382468224
A15_volcomp_h20_S5,20260511_104654_A15_volcomp_h20_S5,0,2026-05-11 10:46:54,2026-05-11 12:14:18,5244,17,-0.6275035649398664,-0.22892429232566563,0.15532079578409017,0.03630126634735217
